Innovator_Out_Degree_Centrality,Innovator_Eigenvector_Centrality,Innovator_Betweenness_Centrality,Innovator_Closeness_Centrality,Innovator_K_Shell,Early_Adopters_Avg_Out_Degree,Early_Adopters_Avg_Eigenvector,Early_Adopters_Avg_Betweenness,Early_Adopters_Avg_Closeness,Early_Adopters_Avg_K_Shell,Early_Adopters_Avg_Forward_Weight,Early_Adopters_Forward_Neighborhood_Size,Num_Components,Diameter_Score,Max_Diameter,ASPL_Score,Max_ASPL,Network_Diameter,Network_Density,Clustering_Coefficient,Avg_Shortest_Path_Length,Num_Communities,Gini_Impurity,Avg_Time_To_Adoption,Topic_ID,Node_Type,Node_ID
3,0.7066530004787492,0.0,1.0,3,1.75,0.3636318564963564,0.0,0.5833333333333334,3.0,0.9244444444444445,4,1,,,,,1.0,0.5833333333333334,1.0,1.0944976076555024,1,0.0,1.7886111111111112,29326,Early_Adopter,67038
1,0.035332650023937456,0.0,0.3333333333333333,3,1.75,0.3636318564963564,0.0,0.5833333333333334,3.0,0.9244444444444445,4,1,,,,,1.0,0.5833333333333334,1.0,1.0944976076555024,1,0.0,-1.4391666666666667,29326,Early_Adopter,67152
0,0.005888775003989577,0.0,0.0,3,1.75,0.3636318564963564,0.0,0.5833333333333334,3.0,0.9244444444444445,4,1,,,,,1.0,0.5833333333333334,1.0,1.0944976076555024,1,0.0,-2.319722222222222,29326,Early_Adopter,67163
3,0.9633979172672382,0.0,0.75,3,0.75,0.08174285358631113,0.0,0.1875,2.25,0.9299999999999999,2,2,5.0,0.0,5.0,0.0,,,,0.0,2,0.31999999999999984,13.47048611111111,29327,Innovator,67144
2,0.2627448865274286,0.0,0.5,3,0.75,0.08174285358631113,0.0,0.1875,2.25,0.9299999999999999,2,2,5.0,0.0,5.0,0.0,,,,0.0,2,0.31999999999999984,13.46701388888889,29327,Early_Adopter,67104
1,0.05254897730548571,0.0,0.25,3,0.75,0.08174285358631113,0.0,0.1875,2.25,0.9299999999999999,2,2,5.0,0.0,5.0,0.0,,,,0.0,2,0.31999999999999984,12.505902777777777,29327,Early_Adopter,67330
0,0.0058387752561650805,0.0,0.0,3,0.75,0.08174285358631113,0.0,0.1875,2.25,0.9299999999999999,2,2,5.0,0.0,5.0,0.0,,,,0.0,2,0.31999999999999984,12.455902777777778,29327,Early_Adopter,66883
0,0.0058387752561650805,0.0,0.0,0,0.75,0.08174285358631113,0.0,0.1875,2.25,0.9299999999999999,2,2,5.0,0.0,5.0,0.0,,,,0.0,2,0.31999999999999984,-38.42881944444444,29327,Early_Adopter,67163
0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,,,,0.0,0.0,0.0,0.0,1,0.0,,29329,Innovator,67430
0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,,,,,0.0,0.0,0.0,0.0,1,0.0,0.003125,29330,Innovator,70103
0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,,,,,0.0,0.0,0.0,0.0,1,0.0,0.003125,29330,Early_Adopter,70103
3,0.9691912089886051,0.0,1.0,3,1.0,0.09691912089886051,0.0,0.3333333333333333,3.0,0.9624999999999999,2,1,,,,,1.0,0.5,1.0,0.0,1,0.0,0.17314814814814813,29331,Innovator,67291
2,0.24229780224715128,0.0,0.6666666666666666,3,1.0,0.09691912089886051,0.0,0.3333333333333333,3.0,0.9624999999999999,2,1,,,,,1.0,0.5,1.0,0.0,1,0.0,0.12939814814814815,29331,Early_Adopter,70960
1,0.044054145863118406,0.0,0.3333333333333333,3,1.0,0.09691912089886051,0.0,0.3333333333333333,3.0,0.9624999999999999,2,1,,,,,1.0,0.5,1.0,0.0,1,0.0,0.09884259259259259,29331,Early_Adopter,67306
0,0.004405414586311842,0.0,0.0,3,1.0,0.09691912089886051,0.0,0.3333333333333333,3.0,0.9624999999999999,2,1,,,,,1.0,0.5,1.0,0.0,1,0.0,-0.22824074074074074,29331,Early_Adopter,70816
0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,,,,0.0,0.0,0.0,0.0,1,0.0,,29332,Innovator,67360
3,0.8028776749866614,0.0,1.0,3,1.8333333333333333,0.4159352399583676,0.16666666666666666,0.611111111111111,3.0,1.2853333333333332,3,1,,,,,1.0,0.5833333333333334,1.0,0.8289473684210527,1,0.0,2.157043650787037,29333,Innovator,67233
3,0.8028776749866614,0.0,1.0,3,1.8333333333333333,0.4159352399583676,0.16666666666666666,0.611111111111111,3.0,1.2853333333333332,3,1,,,,,1.0,0.5833333333333334,1.0,0.8289473684210527,1,0.0,2.157043650787037,29333,Early_Adopter,67233
2,0.42151077936799725,0.3333333333333333,0.6666666666666666,3,1.8333333333333333,0.4159352399583676,0.16666666666666666,0.611111111111111,3.0,1.2853333333333332,3,1,,,,,1.0,0.5833333333333334,1.0,0.8289473684210527,1,0.0,2.1355158730092594,29333,Early_Adopter,67146
2,0.42151077936799725,0.3333333333333333,0.6666666666666666,3,1.8333333333333333,0.4159352399583676,0.16666666666666666,0.611111111111111,3.0,1.2853333333333332,3,1,,,,,1.0,0.5833333333333334,1.0,0.8289473684210527,1,0.0,2.1355158730092594,29333,Early_Adopter,67146
2,0.42151077936799725,0.0,0.6666666666666666,3,1.8333333333333333,0.4159352399583676,0.16666666666666666,0.611111111111111,3.0,1.2853333333333332,3,1,,,,,1.0,0.5833333333333334,1.0,0.8289473684210527,1,0.0,0.18551587300925926,29333,Early_Adopter,70816
2,0.42151077936799725,0.3333333333333333,0.6666666666666666,3,1.8333333333333333,0.4159352399583676,0.16666666666666666,0.611111111111111,3.0,1.2853333333333332,3,1,,,,,1.0,0.5833333333333334,1.0,0.8289473684210527,1,0.0,2.1355158730092594,29333,Early_Adopter,67146
0,0.006690647291555512,0.0,0.0,3,1.8333333333333333,0.4159352399583676,0.16666666666666666,0.611111111111111,3.0,1.2853333333333332,3,1,,,,,1.0,0.5833333333333334,1.0,0.8289473684210527,1,0.0,-8.907539682546297,29333,Early_Adopter,71674
1,0.9878783399072131,0.0,0.5,1,0.0,0.10976425998969032,0.0,0.0,0.5,0.0,0,2,3.0,0.0,3.0,0.0,,,,0.0,2,0.4444444444444444,117.45798611111111,29334,Innovator,67327
0,0.10976425998969032,0.0,0.0,1,0.0,0.10976425998969032,0.0,0.0,0.5,0.0,0,2,3.0,0.0,3.0,0.0,,,,0.0,2,0.4444444444444444,110.22951388888889,29334,Early_Adopter,66736
0,0.10976425998969032,0.0,0.0,0,0.0,0.10976425998969032,0.0,0.0,0.5,0.0,0,2,3.0,0.0,3.0,0.0,,,,0.0,2,0.4444444444444444,-110.22951388888889,29334,Early_Adopter,71674
3,0.7066530004787492,0.0,1.0,3,2.1666666666666665,0.47797223782382064,0.0,0.7222222222222222,3.0,2.310666666666667,4,1,,,,,1.0,0.5833333333333334,1.0,0.33500931516688737,1,0.0,0.057440476180555554,29336,Innovator,67275
3,0.7066530004787492,0.0,1.0,3,2.1666666666666665,0.47797223782382064,0.0,0.7222222222222222,3.0,2.310666666666667,4,1,,,,,1.0,0.5833333333333334,1.0,0.33500931516688737,1,0.0,0.049801587291666664,29336,Early_Adopter,69920
3,0.7066530004787492,0.0,1.0,3,2.1666666666666665,0.47797223782382064,0.0,0.7222222222222222,3.0,2.310666666666667,4,1,,,,,1.0,0.5833333333333334,1.0,0.33500931516688737,1,0.0,0.057440476180555554,29336,Early_Adopter,67275
3,0.7066530004787492,0.0,1.0,3,2.1666666666666665,0.47797223782382064,0.0,0.7222222222222222,3.0,2.310666666666667,4,1,,,,,1.0,0.5833333333333334,1.0,0.33500931516688737,1,0.0,0.049801587291666664,29336,Early_Adopter,69920
3,0.7066530004787492,0.0,1.0,3,2.1666666666666665,0.47797223782382064,0.0,0.7222222222222222,3.0,2.310666666666667,4,1,,,,,1.0,0.5833333333333334,1.0,0.33500931516688737,1,0.0,0.057440476180555554,29336,Early_Adopter,67275
1,0.035332650023937456,0.0,0.3333333333333333,3,2.1666666666666665,0.47797223782382064,0.0,0.7222222222222222,3.0,2.310666666666667,4,1,,,,,1.0,0.5833333333333334,1.0,0.33500931516688737,1,0.0,-0.052976190486111116,29336,Early_Adopter,68465
0,0.005888775003989577,0.0,0.0,3,2.1666666666666665,0.47797223782382064,0.0,0.7222222222222222,3.0,2.310666666666667,4,1,,,,,1.0,0.5833333333333334,1.0,0.33500931516688737,1,0.0,-0.07242063493055556,29336,Early_Adopter,70816
3,0.7,0.0,1.0,4,1.6666666666666667,0.30000000000000004,0.0,0.5555555555555557,4.0,1.3744444444444444,4,1,,,,,1.0,0.6666666666666666,1.0,1.0153077163386441,1,0.0,2.3349206349189813,29339,Innovator,66893
3,0.7,0.0,1.0,4,1.6666666666666667,0.30000000000000004,0.0,0.5555555555555557,4.0,1.3744444444444444,4,1,,,,,1.0,0.6666666666666666,1.0,1.0153077163386441,1,0.0,2.334226190474537,29339,Early_Adopter,67146
3,0.7,0.0,1.0,4,1.6666666666666667,0.30000000000000004,0.0,0.5555555555555557,4.0,1.3744444444444444,4,1,,,,,1.0,0.6666666666666666,1.0,1.0153077163386441,1,0.0,2.3349206349189813,29339,Early_Adopter,66893
1,0.09999999999999998,0.0,0.3333333333333333,4,1.6666666666666667,0.30000000000000004,0.0,0.5555555555555557,4.0,1.3744444444444444,4,1,,,,,1.0,0.6666666666666666,1.0,1.0153077163386441,1,0.0,1.9911706349189815,29339,Early_Adopter,67128
1,0.09999999999999998,0.0,0.3333333333333333,4,1.6666666666666667,0.30000000000000004,0.0,0.5555555555555557,4.0,1.3744444444444444,4,1,,,,,1.0,0.6666666666666666,1.0,1.0153077163386441,1,0.0,-0.7636904761921296,29339,Early_Adopter,70816
1,0.09999999999999998,0.0,0.3333333333333333,4,1.6666666666666667,0.30000000000000004,0.0,0.5555555555555557,4.0,1.3744444444444444,4,1,,,,,1.0,0.6666666666666666,1.0,1.0153077163386441,1,0.0,1.9911706349189815,29339,Early_Adopter,67128
1,0.09999999999999998,0.0,0.3333333333333333,4,1.6666666666666667,0.30000000000000004,0.0,0.5555555555555557,4.0,1.3744444444444444,4,1,,,,,1.0,0.6666666666666666,1.0,1.0153077163386441,1,0.0,-0.7636904761921296,29339,Early_Adopter,70816
2,0.6477656833994175,0.5,1.0,3,1.5,0.5243817437042904,0.125,0.8333333333333333,3.0,1.23625,3,1,,,,,1.0,0.8333333333333334,1.0,1.1330950664311585,1,0.0,0.6288888888888889,29340,Innovator,67146
2,0.6477656833994175,0.0,1.0,3,1.5,0.5243817437042904,0.125,0.8333333333333333,3.0,1.23625,3,1,,,,,1.0,0.8333333333333334,1.0,1.1330950664311585,1,0.0,-0.45166666666666666,29340,Early_Adopter,67226
1,0.4009978040091633,0.0,0.6666666666666666,3,1.5,0.5243817437042904,0.125,0.8333333333333333,3.0,1.23625,3,1,,,,,1.0,0.8333333333333334,1.0,1.1330950664311585,1,0.0,1.52125,29340,Early_Adopter,67360
2,0.6477656833994175,0.5,1.0,3,1.5,0.5243817437042904,0.125,0.8333333333333333,3.0,1.23625,3,1,,,,,1.0,0.8333333333333334,1.0,1.1330950664311585,1,0.0,0.6288888888888889,29340,Early_Adopter,67146
1,0.4009978040091633,0.0,0.6666666666666666,3,1.5,0.5243817437042904,0.125,0.8333333333333333,3.0,1.23625,3,1,,,,,1.0,0.8333333333333334,1.0,1.1330950664311585,1,0.0,1.52125,29340,Early_Adopter,67360
3,0.7066530004787492,0.16666666666666666,1.0,3,1.75,0.3636318564963564,0.041666666666666664,0.5833333333333334,3.0,0.5566666666666668,4,1,,,,,1.0,0.5833333333333334,1.0,1.0478384902348035,1,0.0,3.9670833333333335,29341,Innovator,67360
3,0.7066530004787492,0.0,1.0,3,1.75,0.3636318564963564,0.041666666666666664,0.5833333333333334,3.0,0.5566666666666668,4,1,,,,,1.0,0.5833333333333334,1.0,1.0478384902348035,1,0.0,3.4531944444444442,29341,Early_Adopter,67306
3,0.7066530004787492,0.16666666666666666,1.0,3,1.75,0.3636318564963564,0.041666666666666664,0.5833333333333334,3.0,0.5566666666666668,4,1,,,,,1.0,0.5833333333333334,1.0,1.0478384902348035,1,0.0,3.9670833333333335,29341,Early_Adopter,67360
1,0.035332650023937456,0.0,0.3333333333333333,3,1.75,0.3636318564963564,0.041666666666666664,0.5833333333333334,3.0,0.5566666666666668,4,1,,,,,1.0,0.5833333333333334,1.0,1.0478384902348035,1,0.0,2.2344444444444442,29341,Early_Adopter,67131
0,0.005888775003989577,0.0,0.0,3,1.75,0.3636318564963564,0.041666666666666664,0.5833333333333334,3.0,0.5566666666666668,4,1,,,,,1.0,0.5833333333333334,1.0,1.0478384902348035,1,0.0,-12.974583333333333,29341,Early_Adopter,67226
3,0.9691912089886051,0.0,1.0,3,0.75,0.07379069432072334,0.0,0.25,3.0,0.8825000000000001,2,1,,,,,1.0,0.5,1.0,0.0,1,0.0,6.361111111111111,29342,Innovator,68464
2,0.24229780224715128,0.0,0.6666666666666666,3,0.75,0.07379069432072334,0.0,0.25,3.0,0.8825000000000001,2,1,,,,,1.0,0.5,1.0,0.0,1,0.0,3.6902777777777778,29342,Early_Adopter,67160
1,0.044054145863118406,0.0,0.3333333333333333,3,0.75,0.07379069432072334,0.0,0.25,3.0,0.8825000000000001,2,1,,,,,1.0,0.5,1.0,0.0,1,0.0,3.4298611111111112,29342,Early_Adopter,66792
0,0.004405414586311842,0.0,0.0,3,0.75,0.07379069432072334,0.0,0.25,3.0,0.8825000000000001,2,1,,,,,1.0,0.5,1.0,0.0,1,0.0,0.4708333333333333,29342,Early_Adopter,67163
0,0.004405414586311842,0.0,0.0,3,0.75,0.07379069432072334,0.0,0.25,3.0,0.8825000000000001,2,1,,,,,1.0,0.5,1.0,0.0,1,0.0,0.4708333333333333,29342,Early_Adopter,67163
0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,,,,0.0,0.0,0.0,0.0,1,0.0,,29343,Innovator,67146
1,0.9922778767136676,0.0,1.0,1,0.0,0.12403473458920843,0.0,0.0,1.0,0.0,0,1,,,,,1.0,0.5,0.0,0.0,1,0.0,0.06666666666666667,29344,Innovator,68465
0,0.12403473458920843,0.0,0.0,1,0.0,0.12403473458920843,0.0,0.0,1.0,0.0,0,1,,,,,1.0,0.5,0.0,0.0,1,0.0,0.0,29344,Early_Adopter,67146
4,0.023858321405732272,0.0,0.5,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,122.38333333333334,29345,Innovator,67210
4,0.023858321405732272,0.0,0.5,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,122.38333333333334,29345,Early_Adopter,67210
3,0.007952773801910758,0.0,0.375,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,121.8548611111111,29345,Early_Adopter,67128
2,0.002168938309612025,0.0,0.25,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,120.17083333333333,29345,Early_Adopter,67244
1,0.00043378766192240506,0.0,0.125,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,120.09375,29345,Early_Adopter,67209
0,4.8198629102489444e-05,0.0,0.0,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,118.93333333333334,29345,Early_Adopter,67211
3,0.6103874389539266,0.07142857142857142,0.375,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,-120.62361111111112,29345,Early_Adopter,81192
3,0.6103874389539266,0.0,0.375,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,-120.65625,29345,Early_Adopter,109903
3,0.6103874389539266,0.07142857142857142,0.375,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,-120.62361111111112,29345,Early_Adopter,81192
2,0.41648435407461143,0.0,0.28125,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,-120.69444444444444,29345,Early_Adopter,67146
1,0.2841791171882779,0.0,0.22499999999999998,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,-121.35555555555555,29345,Early_Adopter,81202
3,0.6103874389539266,0.07142857142857142,0.375,4,2.272727272727273,0.2887886588078977,0.01948051948051948,0.29602272727272727,4.0,1.1926666666666668,8,2,9.5,2.0,8.388125,1.5058333333333334,,,,1.1426974084675867,2,0.49382716049382713,-120.62361111111112,29345,Early_Adopter,81192
1,0.38133087322751036,0.16666666666666666,0.25,2,1.0,0.38133087322751036,0.041666666666666664,0.26822916666666663,1.75,1.5378571428571426,3,2,5.5,1.0,7.437499999999999,1.775,,,,0.5633847521107092,2,0.31999999999999984,66.982716049375,29346,Innovator,67459
